ticker|name|expense_ratio|dividend_yield|aum_b|avg_volume|us_pct|china_pct|europe_pct|japan_pct|emerging_pct|tech_pct|finance_pct|healthcare_pct|energy_pct|consumer_pct|industrial_pct|materials_pct|other_pct|top_holdings
KRE|State Street SPDR S&P Regional Banking ETF|0.35|2.25|4.165|17696095|100.0|0.0|0.0|0.0|0.0|0.0|100.0|0.0|0.0|0.0|0.0|0.0|0.0|EWBC WAL BPOP PNFP ZION
LQD|iShares iBoxx $ Investment Grade Corporate Bond ETF|0.14|4.55|30.921|39934027|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|XTSLA
MCHI|iShares MSCI China ETF|0.59|2.21|6.746|3770714|100.0|0.0|0.0|0.0|0.0|9.6|19.1|5.4|3.7|29.6|5.0|5.5|22.0|0700.HK 9988.HK 00939 PDD 1810.HK
MGK|Vanguard Mega Cap Growth Index Fund|0.05|0.34|32.033|2169733|100.0|0.0|0.0|0.0|0.0|55.2|4.9|5.2|0.0|13.5|2.2|0.8|18.1|NVDA AAPL MSFT GOOGL AMZN
MUB|iShares National Muni Bond ETF|0.05|3.17|43.712|3621656|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|MUB
NOBL|ProShares S&P 500 Dividend Aristocrats ETF|0.35|2.09|11.303|725295|100.0|0.0|0.0|0.0|0.0|3.6|12.4|9.7|3.4|28.6|20.3|10.9|11.0|CAT NUE TGT BEN NEE
QQQ|Invesco QQQ Trust|0.18|0.42|440.257|56953180|100.0|0.0|0.0|0.0|0.0|53.8|0.2|4.2|0.6|20.0|2.8|1.1|17.3|NVDA AAPL MSFT AMZN GOOGL
SCHD|Schwab U.S. Dividend Equity ETF|0.06|3.29|91.125|22784424|100.0|0.0|0.0|0.0|0.0|16.4|9.3|18.8|16.2|25.5|7.5|0.0|6.3|TXN UNH QCOM CVX COP
SHY|iShares 1-3 Year Treasury Bond ETF|0.15|3.72|25.084|4867754|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|SHY
SLV|iShares Silver Trust|0.5|0.0|35.608|39715151|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|SLV
SOXX|iShares Semiconductor ETF|0.34|0.36|29.566|7527864|100.0|0.0|0.0|0.0|0.0|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|AMD AVGO MU NVDA INTC
SPY|State Street SPDR S&P 500 ETF Trust|0.0945|1.03|735.061|73779085|100.0|0.0|0.0|0.0|0.0|35.9|11.8|8.4|3.5|15.0|7.8|1.8|15.7|NVDA AAPL MSFT AMZN GOOGL
SUSA|iShares ESG Optimized MSCI USA ETF|0.25|0.88|3.825|44429|100.0|0.0|0.0|0.0|0.0|39.4|11.9|9.0|3.9|10.4|10.2|2.5|12.9|NVDA AAPL MSFT GOOG AVGO
TLT|iShares 20+ Year Treasury Bond ETF|0.15|4.57|42.905|33247600|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|TLT
VCIT|Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares|0.03|4.74|68.096|12684708|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|VCIT
VEA|Vanguard FTSE Developed Markets Index Fund ETF Shares|0.03|2.73|304.263|16137029|100.0|0.0|0.0|0.0|0.0|12.0|23.2|8.9|5.7|13.8|18.9|7.7|9.8|005930.KS ASML.AS 000660.KS NOVN.SW AZN.L
VIG|Vanguard Dividend Appreciation Index Fund ETF Shares|0.04|1.51|124.646|1248574|100.0|0.0|0.0|0.0|0.0|24.0|20.5|17.6|4.0|15.4|11.6|3.5|3.3|AVGO AAPL MSFT JPM LLY
VNQ|Vanguard Real Estate Index Fund ETF Shares|0.13|3.62|69.945|3696830|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.0|99.8|VRTPX WELL PLD EQIX AMT
VOO|Vanguard S&P 500 ETF|0.03|1.08|1600.156|9418619|100.0|0.0|0.0|0.0|0.0|33.6|12.2|9.5|4.0|15.3|8.5|1.9|14.9|NVDA AAPL MSFT AMZN GOOGL
VTI|Vanguard Total Stock Market Index Fund ETF Shares|0.03|1.06|2202.624|4855950|100.0|0.0|0.0|0.0|0.0|31.5|12.5|10.2|4.2|15.0|9.9|2.1|14.6|NVDA AAPL MSFT AMZN GOOGL
VTV|Vanguard Value Index Fund ETF Shares|0.03|1.92|237.832|4009733|100.0|0.0|0.0|0.0|0.0|11.1|22.3|15.3|8.8|13.8|13.9|3.1|11.7|BRK-B JPM XOM JNJ WMT
VUG|Vanguard Growth Index Fund ETF Shares|0.03|0.4|365.001|9203093|100.0|0.0|0.0|0.0|0.0|52.6|4.6|5.4|0.4|14.3|4.6|0.7|17.6|NVDA AAPL MSFT GOOGL AMZN
VWO|Vanguard Emerging Markets Stock Index Fund|0.06|2.48|159.867|10391204|100.0|0.0|0.0|0.0|0.0|26.2|20.5|4.1|4.7|15.1|7.9|8.4|13.1|2330.TW 0700.HK 9988.HK RELIANCE.NS 00939
VYM|Vanguard High Dividend Yield Index Fund ETF Shares|0.04|2.24|94.628|1459643|100.0|0.0|0.0|0.0|0.0|15.2|20.1|12.9|10.7|15.5|12.1|3.5|9.8|AVGO JPM XOM JNJ CVX
XLE|State Street Energy Select Sector SPDR ETF|0.08|2.5|41.394|53891904|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0|0.0|0.0|0.0|0.0|XOM CVX COP SLB WMB
XLF|State Street Financial Select Sector SPDR ETF|0.08|1.52|51.461|48000506|100.0|0.0|0.0|0.0|0.0|1.8|98.0|0.0|0.0|0.0|0.2|0.0|0.0|BRK-B JPM V MA BAC
XLI|State Street Industrial Select Sector SPDR ETF|0.08|1.17|30.091|11893814|100.0|0.0|0.0|0.0|0.0|6.0|0.0|0.0|0.0|0.3|93.7|0.0|0.0|CAT GE GEV RTX BA
XLK|State Street Technology Select Sector SPDR ETF|0.08|0.48|103.332|14573433|100.0|0.0|0.0|0.0|0.0|99.1|0.0|0.0|0.0|0.0|0.0|0.0|0.9|NVDA AAPL MSFT AVGO MU
XLP|State Street Consumer Staples Select Sector SPDR ETF|0.08|2.58|14.545|15949330|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0|0.0|0.0|0.0|WMT COST PG KO PM
XLRE|State Street Real Estate Select Sector SPDR ETF|0.08|3.15|7.713|7566600|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0|WELL PLD EQIX AMT DLR
XLU|State Street Utilities Select Sector SPDR ETF|0.08|2.54|24.052|24667904|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0|NEE SO DUK CEG AEP
XLV|State Street Health Care Select Sector SPDR ETF|0.08|1.72|37.88|12327672|100.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0|0.0|0.0|0.0|0.0|0.0|LLY JNJ ABBV UNH MRK
XLY|State Street Consumer Discretionary Select Sector SPDR ETF|0.08|0.75|23.128|10046753|100.0|0.0|0.0|0.0|0.0|0.9|0.0|0.0|0.0|98.9|0.2|0.0|0.0|AMZN TSLA HD TJX MCD
